name,cdsCode
Joli Ann Leichtag Elementary,37737910116467
High Tech High Chula Vista,37764710114678
East Hills Academy,37684110115873
North County Trade Tech High,37684520114264
"Vista Magnet Middle School of Technology, Science, and Math",37684520114637
All Tribes Charter,37754166119275
EJE Middle Academy,37679910119255
Del Norte High,37682960118935
Crawford High,37683380107177
East Village Middle College High,37683380118315
King-Chavez Preparatory Academy,37683380111906
King-Chavez Primary Academy,37683386040190
Monarch,37103710120493
San Pasqual Academy,37103710115998
Mission Vista High,37684520118430
High Tech Middle North County,37764710119271
Davila Day,37103710120485
Willow Elementary,37683790123000
School for Entrepreneurship and Technology,37683380122788
San Diego Global Vision Academy,37683380121681
Holly Drive Leadership Academy,37683386117279
High Tech Middle Chula Vista,37764710123042
High Tech Elementary Chula Vista,37764710123059
Old Town Academy K-8 Charter,37683380123778
Guajome Learning Center,37684520124917
Sevick Special Education,37679916093199
All Tribes Elementary Charter,37754160122796
Mountain Empire Special Education Preschool,37682130118711
The Heights Charter,37680490127118
Camp Lockett Middle,37682130126995
Pine Valley Middle,37682130127001
City Heights Preparatory Charter,37683380124347
Home & Hosp/Transition Support,37683380126938
VIP Village Preschool,37683950125872
Hawking S.T.E.A.M. Charter,37684110126086
Vista Visions Academy,37684520126300
San Diego County Court,37103710128538
Camarena (Enrique S.) Elementary,37680230127431
Del Lago Academy - Campus of Applied Science,37681060127241
REACH Academy,37681300128819
Harbor Springs Charter,37681630128421
Kavod Charter,37683380126730
Bella Mente Montessori Academy,37684520128223
Sage Creek High,37735510127423
Quantum Academy,37680980131813
IDEA Center,37681300132548
Eucalyptus Hills Elementary,37681890129288
La Mesa Arts Academy,37681970132290
"Science, Technology, Engineering, Arts, and Math Academy at La Presa",37681970132431
Trust Blended Learning,37681970132951
Ramona Community Montessori,37683040131268
San Diego Science and Technology,37683380107219
San Diego International Studies,37683380107029
San Diego Business/Leadership,37683380107052
Kearny Eng Innov & Design,37683380107102
Kearny Digital Media & Design,37683380107078
Kearny School of Biomedical Science and Technology,37683380107086
Kearny College Connections,37683380107094
ALBA,37683383731130
Albert Einstein Academy Charter Middle,37683380111898
KIPP Adelante Preparatory Academy,37683380101345
TRACE,37683383731056
Maie Ellis Elementary,37681140131920
Fallbrook Homeschool Academy,37681146096911
Santa Margarita Academy,37681140115519
Alta Vista High (Continuation),37684523732039
Cesar Chavez Middle,37735690113522
e3 Civic High,37683380127647
Coronado Unified Special Education Pre-K,37680310131375
Oceanside High,37735693735206
Monte Vista Elementary,37684526040638
High Tech High North County,37764710114694
Leonardo da Vinci Health Sciences Charter,37680230119594
High Tech Middle Media Arts,37683380107573
Mar Vista Academy,37684116059786
Del Dios Academy of Arts and Sciences,37680986038194
EastLake Elementary,37680236108492
High Tech Elementary Explorer,37683386117683
Vista Adult Transition Center,37684523730207
Elite Academy,37681303731486
Vista Innovation and Design Academy,37684526059810
San Diego County Community,37103710128520
Health Sciences High and Middle College,37683380114462
Ingenuity Charter,37683380131979
National School District Preschool,37682210129734
Jonas Salk Elementary,37683380132316
Bonsall High,37768510129320
Norman L. Sullivan Middle,37768516108567
Cabrillo Point Academy,37680490132506
MethodSchools,37680490129221
Dehesa Elementary,37680496038095
Bonsall Elementary,37768516037543
Vivian Banks Charter,37768516113468
Bonsall West Elementary,37768510110122
Elevate Charter,37683380129395
Empower Language Academy,37683380129387
San Diego Metro Career and Tech,37683380107482
Special Education Preschool,37680230131474
Mountain Valley Academy,37683040131250
Motivated Youth Academy,37682130129668
SIATech,37684520106120
Ralph Waldo Emerson Elementary,37683386039507
Classical Academy,37680986116776
MERIT Academy,37681300128793
Lexington Elementary,37679916037683
Coronado Village Elementary,37680316038053
High Tech Elementary North County,37764710127605
Classical Academy High,37681060111195
King-Chavez Community High,37683380118851
Lakeside Early Advantage Preschool,37681890130740
Chaparral High,37681303732559
Learning Choice Academy,37683380106799
St. Patrick Catholic School,37735516975841
Calvin Christian,37680986975312
Montessori School of Oceanside,37684527101017
Army and Navy Academy,37735516938799
Valley Christian School,37737916930564
Pacific Academy,37683466141725
Ramona Lutheran,37683046956924
"Grauer, The",37683467077266
Horizon Prep,37683876203491
"Nativity School, The",37683877093602
Santa Fe Christian Schools,37683466927883
St. James Academy,37683876975734
NewBridge School,37682966130777
Maranatha Christian Schools,37682967078298
Chabad Hebrew Academy,37683386932214
Heritage Christian School of San Diego,37683387052608
"Learning Academy, The",37681896954374
Torah High Schools of San Diego,37683387100720
The Children's School,37683386993166
Foothills Christian Elementary School,37681897092869
"Bishop's School, The",37683386938815
Stella Maris Academy,37683386975932
All Hallows Academy,37683386975262
San Diego French–American School,37683387051360
Our Lady of Grace School,37681976975589
El Cajon Seventh-day Adventist,37679916967897
Christian Elementary East,37679916904981
Christian Elementary West,37679916913446
St. Therese Academy,37683386981054
Shepherd of the Hills Lutheran,37681976925861
Holy Trinity Elementary,37679916975510
School of the Madeleine,37683386975924
"Nazareth School of San Diego, Inc",37683386975569
Futures Academy-San Diego,37683387077753
The Rock Academy,37683386202386
Christ Lutheran Elementary,37681976965503
St. Didacus  School,37683386975718
Cooperative Learning Center,37683387083637
Academy of Our Lady of Peace,37683386938757
St. Katharine Drexel Academy,37683386975296
St. Vincent de Paul,37683386975882
Trinity Christian School,37681976913644
St. Patrick's Elementary,37683386975858
The Waldorf School of San Diego,37683387081631
St. Augustine High School,37683386939409
"Heartland Christian Homeschool Center, Inc.",37681977082803
City Tree Christian,37683386902902
Nativity Prep Academy,37683387103328
True Faith Academy,37683387085939
St. Rita's School,37683386966113
Christ Church Day School,37680316980924
Sacred Heart Parish School,37680316975650
San Diego Academy,37682216939326
Santa Sophia Academy,37681976975908
St. John of the Cross School,37682056975742
Faithful Ambassadors Bible Baptist Academy,37682217093941
Bright Horizon Academy,37683387080427
"Child's Primary, The",37683386927586
Soille San Diego Hebrew Day,37683386975890
St. Columba,37683386975700
St. Paul's Lutheran,37683386965560
San Diego Center for Children Academy,37683387093115
St. Peter the Apostle Catholic School,37681147069065
Morning Star Ranch Training Program,37756146203061
Calvary Christian Academy,37680237031289
St. Rose of Lima School,37680236975874
