,district,socType,name,minGrade,cv_dist,cv_miles
47,San Diego Unified,High Schools (Public),Scripps Ranch High,9.0,12702.206860188728,7.938879287617954
559,San Diego Unified,High Schools (Public),La Jolla High,9.0,13012.669416354669,8.132918385221668
497,San Diego Unified,Intermediate/Middle Schools (Public),Muirlands Middle,6.0,13118.350168760433,8.19896885547527
599,Poway Unified,High Schools (Public),Del Norte High,9.0,13286.910127218998,8.304318829511875
568,San Diego Unified,Intermediate/Middle Schools (Public),Creative Performing and Media Arts,6.0,13511.031135494604,8.444394459684128
243,Poway Unified,Intermediate/Middle Schools (Public),Oak Valley Middle,6.0,13515.761071014895,8.44735066938431
1005,Poway Unified,Private,Hindi Langauge Program,6.0,13648.353789331557,8.530221118332223
587,San Diego Unified,Intermediate/Middle Schools (Public),Innovation Middle,6.0,13650.838542311802,8.531774088944877
402,San Dieguito Union High,High Schools (Public),La Costa Canyon High,9.0,13922.20959966364,8.701380999789775
467,San Diego Unified,Intermediate/Middle Schools (Public),Marshall Middle,6.0,14273.78922310662,8.921118264441638
562,San Diego Unified,High Schools (Public),Madison High,9.0,14354.992803089017,8.971870501930635
927,SBC - High Tech High,High Schools (Public),High Tech High Mesa,9.0,15704.160738215205,9.815100461384503
916,SBC - High Tech High,Intermediate/Middle Schools (Public),High Tech Middle Mesa,6.0,15750.049499083214,9.84378093692701
87,San Diego Unified,High Schools (Public),Clairemont High,9.0,15812.23820870397,9.88264888043998
88,San Diego Unified,Intermediate/Middle Schools (Public),Marston Middle,6.0,15912.21508574609,9.945134428591306
95,San Diego Unified,Intermediate/Middle Schools (Public),Pacific Beach Middle,6.0,16187.57173905039,10.117232336906493
563,San Diego Unified,High Schools (Public),Mission Bay High,9.0,16367.283392447573,10.229552120279733
1025,Poway Unified,High Schools (Public),Poway to Palomar Middle College High,11.0,16383.285282710352,10.23955330169397
447,Poway Unified,Intermediate/Middle Schools (Public),Meadowbrook Middle,6.0,16502.509432953833,10.314068395596145
914,Warner Unified,K-12 Schools (Public),San Diego Mission Academy,6.0,16554.86610245878,10.346791314036736
807,San Diego Unified,Private,Southern California Yeshiva High School,9.0,16806.86699736665,10.504291873354157
439,Poway Unified,Continuation High Schools,Abraxas Continuation High,9.0,17052.76175614972,10.657976097593576
124,San Marcos Unified,Intermediate/Middle Schools (Public),San Elijo Middle,6.0,17165.38626667856,10.7283664166741
434,Poway Unified,High Schools (Public),Rancho Bernardo High,9.0,17219.998468246882,10.762499042654301
432,Poway Unified,Intermediate/Middle Schools (Public),Bernardo Heights Middle,6.0,17271.25089273253,10.794531807957831
688,San Diego Unified,Alternative Schools of Choice,San Diego Metro Career and Tech,9.0,17542.106889467013,10.963816805916883
379,Carlsbad Unified,Intermediate/Middle Schools (Public),Aviara Oaks Middle,6.0,17626.26527872728,11.016415799204548
610,San Diego Unified,High Schools (Public),School for Entrepreneurship and Technology,9.0,17834.727633869392,11.14670477116837
